NAME,YEAR,industry_name,industry_values,
"Howard County, Maryland",2012,"Educational services, and health care and social assistance",38310,
"Prince George's County, Maryland",2012,"Educational services, and health care and social assistance",102001,
"Montgomery County, Maryland",2012,"Educational services, and health care and social assistance",114481,
"District of Columbia, District of Columbia",2012,"Educational services, and health care and social assistance",66389,
"Calvert County, Maryland",2012,"Educational services, and health care and social assistance",8400,
"Marin County, California",2012,"Educational services, and health care and social assistance",26428,
"San Francisco County, California",2012,"Educational services, and health care and social assistance",85534,
"San Mateo County, California",2012,"Educational services, and health care and social assistance",83940,
"Alameda County, California",2012,"Educational services, and health care and social assistance",170045,
"Contra Costa County, California",2012,"Educational services, and health care and social assistance",112481,
"Santa Clara County, California",2012,"Educational services, and health care and social assistance",164373,
"Anne Arundel County, Maryland",2012,"Arts, entertainment, and recreation, and accommodation and food services",20421,
"Howard County, Maryland",2012,"Arts, entertainment, and recreation, and accommodation and food services",8164,
"Prince George's County, Maryland",2012,"Arts, entertainment, and recreation, and accommodation and food services",37124,
"Montgomery County, Maryland",2012,"Arts, entertainment, and recreation, and accommodation and food services",44970,
"District of Columbia, District of Columbia",2012,"Arts, entertainment, and recreation, and accommodation and food services",32087,
"Calvert County, Maryland",2012,"Arts, entertainment, and recreation, and accommodation and food services",4463,
"Marin County, California",2012,"Arts, entertainment, and recreation, and accommodation and food services",13843,
"San Francisco County, California",2012,"Arts, entertainment, and recreation, and accommodation and food services",58740,
"San Mateo County, California",2012,"Arts, entertainment, and recreation, and accommodation and food services",37845,
"Alameda County, California",2012,"Arts, entertainment, and recreation, and accommodation and food services",71294,
"Contra Costa County, California",2012,"Arts, entertainment, and recreation, and accommodation and food services",40828,
